Time,UUID,RSSI,
20220321 01:23:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 01:23:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-83,
20220321 01:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 01:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 01:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 01:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-79,
20220321 01:23:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20220321 01:23:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 01:23:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:23:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 01:23:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 01:23:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-79,
20220321 01:23:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20220321 01:23:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 01:23:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 01:23:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:23:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 01:23:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 01:23:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20220321 01:23:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 01:23:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220321 01:23:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 01:23:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 01:23:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-85,
20220321 01:23:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-55,
20220321 01:23:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 01:23:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220321 01:23:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 01:23:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 01:23:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-85,
20220321 01:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20220321 01:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 01:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 01:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76,
20220321 01:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-85,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-58,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20220321 01:23:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-48,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-58,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 01:23:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-48,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 01:23:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-48,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 01:23:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-48,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20220321 01:23:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20220321 01:23:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20220321 01:24:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50,
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 01:24:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
